producto_id,marca_repuesto,calidad_repuesto,condicion,descripcion_corta,marca_vehiculo,modelo_vehiculo,anio_desde,anio_hasta,motor_codigo,cilindrada,combustible,transmision,carroceria,version_trim,compatibilidades,vin_prefijos,chasis_series,numeros_motor_series,colores_disponibles,requiere_color,requiere_vin,requiere_chasis,observaciones
PRD-2022,Denso,OEM,Nuevo,Manguera radiador inferior compatible Hyundai Accent 2014-2019,Hyundai,Accent,2014,2019,G4FC,1.6L,Gasolina,DCT,Sedán,GLS,Años 2014-2019; Motor G4FC; 1.6L; Gasolina,KMH,RB,G4FC,,FALSE,FALSE,FALSE,Requiere líquido refrigerante G12
PRD-2178,NGK,OEM,Usado,Pastillas de freno traseras compatible Great Wall Wingle 5 2011-2018,Great Wall,Wingle 5,2011,2018,GW4D20,2.0L,Diésel,AT,Camioneta,Base|Deluxe,Años 2011-2018; Motor GW4D20; 2.0L; Diésel,LGW|LZW,WINGLE5|CC1031,GW4D20,,FALSE,FALSE,FALSE,Incluye empaquetadura
PRD-2065,NGK,OEM,Remanufacturado,Alternador compatible Toyota Corolla 2010-2018,Toyota,Corolla,2010,2018,2ZR-FE,1.8L,Gasolina,AT,Sedán,XEi,Años 2010-2018; Motor 2ZR-FE; 1.8L; Gasolina,JTD,ZRE,2ZR-FE,,FALSE,TRUE,FALSE,
PRD-2057,Sachs,OEM,Nuevo,Kit correa distribución compatible Toyota Corolla 2010-2018,Toyota,Corolla,2010,2018,2ZR-FE,1.8L,Gasolina,DCT,Sedán,GLi,Años 2010-2018; Motor 2ZR-FE; 1.8L; Gasolina,JTD,ZRE,2ZR-FE,,FALSE,FALSE,FALSE,Requiere líquido refrigerante G12
PRD-2153,SKF,Aftermarket,Remanufacturado,Disco de freno compatible Suzuki Swift 2012-2017,Suzuki,Swift,2012,2017,K14B,1.4L,Gasolina,CVT,Hatchback,GL|GLX,Años 2012-2017; Motor K14B; 1.4L; Gasolina,JS2|TSM,ZC72S,K14B,,FALSE,FALSE,FALSE,Verificar diámetro
PRD-2104,Hella,Genérico,Usado,Rótula dirección compatible Toyota Hilux 2012-2015,Toyota,Hilux,2012,2015,1KD-FTV,3.0L,Diésel,MT,Camioneta,DX,Años 2012-2015; Motor 1KD-FTV; 3.0L; Diésel,MR0|AHT,KUN,1KD-FTV,,FALSE,TRUE,FALSE,
PRD-2111,Valeo,OEM,Usado,Kit correa distribución compatible Nissan NP300 2012-2018,Nissan,NP300,2012,2018,YD25,2.5L,Diésel,MT,Camioneta,LE|SE,Años 2012-2018; Motor YD25; 2.5L; Diésel,JN1|3N6,D22|D40,YD25,,FALSE,TRUE,FALSE,Verificar diámetro
PRD-2131,Hella,Aftermarket,Remanufacturado,Maza de rueda compatible Nissan NP300 2012-2018,Nissan,NP300,2012,2018,YD25,2.5L,Diésel,AT,Camioneta,LE,Años 2012-2018; Motor YD25; 2.5L; Diésel,JN1|3N6,D22|D40,YD25,,FALSE,FALSE,TRUE,Incluye empaquetadura
PRD-2183,NGK,OEM,Nuevo,Manguera radiador superior compatible Great Wall Wingle 5 2011-2018,Great Wall,Wingle 5,2011,2018,GW4D20,2.0L,Diésel,AT,Camioneta,Base|Deluxe,Años 2011-2018; Motor GW4D20; 2.0L; Diésel,LGW|LZW,WINGLE5|CC1031,GW4D20,,FALSE,FALSE,FALSE,Verificar diámetro
PRD-2085,Febi Bilstein,Aftermarket,Nuevo,Bomba de combustible compatible Toyota Hilux 2012-2015,Toyota,Hilux,2012,2015,1KD-FTV,3.0L,Diésel,MT,Camioneta,DX|SR,Años 2012-2015; Motor 1KD-FTV; 3.0L; Diésel,MR0|AHT,KUN,1KD-FTV,,FALSE,FALSE,FALSE,Verificar diámetro
PRD-2124,Monroe,Aftermarket,Nuevo,Pastillas de freno traseras compatible Nissan NP300 2012-2018,Nissan,NP300,2012,2018,YD25,2.5L,Diésel,MT,Camioneta,LE|SE,Años 2012-2018; Motor YD25; 2.5L; Diésel,JN1|3N6,D22|D40,YD25,,FALSE,FALSE,TRUE,
PRD-2132,Gates,Aftermarket,Nuevo,Rótula dirección compatible Nissan NP300 2012-2018,Nissan,NP300,2012,2018,YD25,2.5L,Diésel,AT,Camioneta,SE,Años 2012-2018; Motor YD25; 2.5L; Diésel,JN1|3N6,D22|D40,YD25,,FALSE,FALSE,FALSE,Verificar diámetro
PRD-2097,Sachs,Genérico,Usado,Disco de freno compatible Toyota Hilux 2012-2015,Toyota,Hilux,2012,2015,1KD-FTV,3.0L,Diésel,AT,Camioneta,DX,Años 2012-2015; Motor 1KD-FTV; 3.0L; Diésel,MR0|AHT,KUN,1KD-FTV,,FALSE,FALSE,FALSE,Incluye empaquetadura
PRD-2002,Mahle,Genérico,Remanufacturado,Termostato compatible Hyundai Accent 2014-2019,Hyundai,Accent,2014,2019,G4FC,1.6L,Gasolina,CVT,Sedán,Limited|GLS,Años 2014-2019; Motor G4FC; 1.6L; Gasolina,KMH,RB,G4FC,,FALSE,FALSE,FALSE,
PRD-2171,Denso,OEM,Nuevo,Bujías compatible Great Wall Wingle 5 2011-2018,Great Wall,Wingle 5,2011,2018,GW4D20,2.0L,Diésel,AT,Camioneta,Base|Deluxe,Años 2011-2018; Motor GW4D20; 2.0L; Diésel,LGW|LZW,WINGLE5|CC1031,GW4D20,,FALSE,FALSE,FALSE,Verificar diámetro
PRD-2146,Gates,Aftermarket,Nuevo,Bobina de encendido compatible Suzuki Swift 2012-2017,Suzuki,Swift,2012,2017,K14B,1.4L,Gasolina,CVT,Hatchback,GLX|GL,Años 2012-2017; Motor K14B; 1.4L; Gasolina,JS2|TSM,ZC72S,K14B,,FALSE,FALSE,FALSE,Incluye empaquetadura
PRD-2117,Denso,Reconstruido,Remanufacturado,Bujías compatible Nissan NP300 2012-2018,Nissan,NP300,2012,2018,YD25,2.5L,Diésel,MT,Camioneta,SE|LE,Años 2012-2018; Motor YD25; 2.5L; Diésel,JN1|3N6,D22|D40,YD25,,FALSE,FALSE,TRUE,Con ABS/ESP
PRD-2066,NGK,Reconstruido,Nuevo,Motor de partida compatible Toyota Corolla 2010-2018,Toyota,Corolla,2010,2018,2ZR-FE,1.8L,Gasolina,DCT,Sedán,XEi,Años 2010-2018; Motor 2ZR-FE; 1.8L; Gasolina,JTD,ZRE,2ZR-FE,,FALSE,FALSE,TRUE,Incluye empaquetadura
PRD-2113,Febi Bilstein,OEM,Usado,Bomba de combustible compatible Nissan NP300 2012-2018,Nissan,NP300,2012,2018,YD25,2.5L,Diésel,MT,Camioneta,LE|SE,Años 2012-2018; Motor YD25; 2.5L; Diésel,JN1|3N6,D22|D40,YD25,,FALSE,FALSE,FALSE,
PRD-2120,Mahle,Genérico,Remanufacturado,Motor de partida compatible Nissan NP300 2012-2018,Nissan,NP300,2012,2018,YD25,2.5L,Diésel,MT,Camioneta,SE,Años 2012-2018; Motor YD25; 2.5L; Diésel,JN1|3N6,D22|D40,YD25,,FALSE,TRUE,FALSE,
PRD-2031,Valeo,Reconstruido,Nuevo,Bomba de combustible compatible Hyundai Tucson 2016-2021,Hyundai,Tucson,2016,2021,G4NA,2.0L,Gasolina,AT,SUV,Limited,Años 2016-2021; Motor G4NA; 2.0L; Gasolina,KM8|TMA,TL,G4NA,,FALSE,FALSE,FALSE,Requiere líquido refrigerante G12
PRD-2147,Denso,Aftermarket,Nuevo,Alternador compatible Suzuki Swift 2012-2017,Suzuki,Swift,2012,2017,K14B,1.4L,Gasolina,DCT,Hatchback,GLX|GL,Años 2012-2017; Motor K14B; 1.4L; Gasolina,JS2|TSM,ZC72S,K14B,,FALSE,TRUE,FALSE,Con ABS/ESP
PRD-2032,Denso,Aftermarket,Usado,Filtro de aceite compatible Hyundai Tucson 2016-2021,Hyundai,Tucson,2016,2021,G4NA,2.0L,Gasolina,AT,SUV,Limited|Value,Años 2016-2021; Motor G4NA; 2.0L; Gasolina,KM8|TMA,TL,G4NA,,FALSE,FALSE,TRUE,Incluye empaquetadura
PRD-2013,Gates,Aftermarket,Remanufacturado,Amortiguador delantero compatible Hyundai Accent 2014-2019,Hyundai,Accent,2014,2019,G4FC,1.6L,Gasolina,CVT,Sedán,GLS|Limited,Años 2014-2019; Motor G4FC; 1.6L; Gasolina,KMH,RB,G4FC,,FALSE,TRUE,TRUE,Verificar diámetro
PRD-2108,Denso,Genérico,Usado,Bomba de agua compatible Nissan NP300 2012-2018,Nissan,NP300,2012,2018,YD25,2.5L,Diésel,MT,Camioneta,SE,Años 2012-2018; Motor YD25; 2.5L; Diésel,JN1|3N6,D22|D40,YD25,,FALSE,FALSE,FALSE,Con ABS/ESP
PRD-2141,Bosch,Reconstruido,Nuevo,Bomba de combustible compatible Suzuki Swift 2012-2017,Suzuki,Swift,2012,2017,K14B,1.4L,Gasolina,CVT,Hatchback,GLX,Años 2012-2017; Motor K14B; 1.4L; Gasolina,JS2|TSM,ZC72S,K14B,,FALSE,FALSE,FALSE,Con ABS/ESP
PRD-2122,Aisin,Reconstruido,Usado,Amortiguador trasero compatible Nissan NP300 2012-2018,Nissan,NP300,2012,2018,YD25,2.5L,Diésel,MT,Camioneta,LE|SE,Años 2012-2018; Motor YD25; 2.5L; Diésel,JN1|3N6,D22|D40,YD25,,FALSE,FALSE,TRUE,Requiere líquido refrigerante G12
PRD-2051,Febi Bilstein,Aftermarket,Nuevo,Brazo control compatible Hyundai Tucson 2016-2021,Hyundai,Tucson,2016,2021,D4HA,2.0L,Diésel,MT,SUV,Limited,Años 2016-2021; Motor D4HA; 2.0L; Diésel,KM8|TMA,TL,D4HA,,FALSE,FALSE,FALSE,
PRD-2018,NGK,Reconstruido,Remanufacturado,Kit embrague compatible Hyundai Accent 2014-2019,Hyundai,Accent,2014,2019,G4FC,1.6L,Gasolina,MT,Sedán,GLS,Años 2014-2019; Motor G4FC; 1.6L; Gasolina,KMH,RB,G4FC,,FALSE,FALSE,TRUE,Requiere líquido refrigerante G12
PRD-2114,Gates,Aftermarket,Remanufacturado,Filtro de aceite compatible Nissan NP300 2012-2018,Nissan,NP300,2012,2018,YD25,2.5L,Diésel,MT,Camioneta,LE|SE,Años 2012-2018; Motor YD25; 2.5L; Diésel,JN1|3N6,D22|D40,YD25,,FALSE,TRUE,TRUE,Con ABS/ESP
PRD-2088,Gates,OEM,Remanufacturado,Filtro de cabina compatible Toyota Hilux 2012-2015,Toyota,Hilux,2012,2015,1KD-FTV,3.0L,Diésel,MT,Camioneta,DX,Años 2012-2015; Motor 1KD-FTV; 3.0L; Diésel,MR0|AHT,KUN,1KD-FTV,,FALSE,FALSE,FALSE,Requiere líquido refrigerante G12
PRD-2060,SKF,Aftermarket,Usado,Filtro de aceite compatible Toyota Corolla 2010-2018,Toyota,Corolla,2010,2018,2ZR-FE,1.8L,Gasolina,,Sedán,XEi,Años 2010-2018; Motor 2ZR-FE; 1.8L; Gasolina,JTD,ZRE,2ZR-FE,,FALSE,FALSE,FALSE,Requiere líquido refrigerante G12
PRD-2115,Febi Bilstein,Reconstruido,Remanufacturado,Filtro de aire compatible Nissan NP300 2012-2018,Nissan,NP300,2012,2018,YD25,2.5L,Diésel,AT,Camioneta,LE|SE,Años 2012-2018; Motor YD25; 2.5L; Diésel,JN1|3N6,D22|D40,YD25,,FALSE,FALSE,FALSE,Requiere líquido refrigerante G12
PRD-2084,Hella,Reconstruido,Nuevo,Correa auxiliar compatible Toyota Hilux 2012-2015,Toyota,Hilux,2012,2015,1KD-FTV,3.0L,Diésel,MT,Camioneta,SR|DX,Años 2012-2015; Motor 1KD-FTV; 3.0L; Diésel,MR0|AHT,KUN,1KD-FTV,,FALSE,FALSE,FALSE,Incluye empaquetadura
PRD-2036,Denso,Aftermarket,Remanufacturado,Bobina de encendido compatible Hyundai Tucson 2016-2021,Hyundai,Tucson,2016,2021,D4HA,2.0L,Diésel,AT,SUV,Value,Años 2016-2021; Motor D4HA; 2.0L; Diésel,KM8|TMA,TL,D4HA,,FALSE,TRUE,TRUE,
PRD-2045,Bosch,OEM,Usado,Sensor oxígeno compatible Hyundai Tucson 2016-2021,Hyundai,Tucson,2016,2021,G4NA,2.0L,Gasolina,MT,SUV,Value|Limited,Años 2016-2021; Motor G4NA; 2.0L; Gasolina,KM8|TMA,TL,G4NA,,FALSE,TRUE,FALSE,Con ABS/ESP
PRD-2098,Original,OEM,Remanufacturado,Kit embrague compatible Toyota Hilux 2012-2015,Toyota,Hilux,2012,2015,1KD-FTV,3.0L,Diésel,AT,Camioneta,SR|DX,Años 2012-2015; Motor 1KD-FTV; 3.0L; Diésel,MR0|AHT,KUN,1KD-FTV,,FALSE,FALSE,FALSE,Incluye empaquetadura
PRD-2163,SKF,Aftermarket,Usado,Radiador compatible Great Wall Wingle 5 2011-2018,Great Wall,Wingle 5,2011,2018,GW4D20,2.0L,Diésel,MT,Camioneta,Deluxe,Años 2011-2018; Motor GW4D20; 2.0L; Diésel,LGW|LZW,WINGLE5|CC1031,GW4D20,,FALSE,FALSE,FALSE,Verificar diámetro
PRD-2028,Bosch,Aftermarket,Usado,Termostato compatible Hyundai Tucson 2016-2021,Hyundai,Tucson,2016,2021,D4HA,2.0L,Diésel,AT,SUV,Limited,Años 2016-2021; Motor D4HA; 2.0L; Diésel,KM8|TMA,TL,D4HA,,FALSE,FALSE,FALSE,Requiere líquido refrigerante G12
PRD-2101,Denso,Reconstruido,Usado,Manguera radiador superior compatible Toyota Hilux 2012-2015,Toyota,Hilux,2012,2015,1KD-FTV,3.0L,Diésel,AT,Camioneta,SR,Años 2012-2015; Motor 1KD-FTV; 3.0L; Diésel,MR0|AHT,KUN,1KD-FTV,,FALSE,FALSE,FALSE,Requiere líquido refrigerante G12
PRD-2133,NGK,Reconstruido,Nuevo,Brazo control compatible Nissan NP300 2012-2018,Nissan,NP300,2012,2018,YD25,2.5L,Diésel,AT,Camioneta,SE|LE,Años 2012-2018; Motor YD25; 2.5L; Diésel,JN1|3N6,D22|D40,YD25,,FALSE,FALSE,TRUE,
PRD-2169,Monroe,OEM,Nuevo,Filtro de aire compatible Great Wall Wingle 5 2011-2018,Great Wall,Wingle 5,2011,2018,GW4D20,2.0L,Diésel,MT,Camioneta,Deluxe,Años 2011-2018; Motor GW4D20; 2.0L; Diésel,LGW|LZW,WINGLE5|CC1031,GW4D20,,FALSE,FALSE,FALSE,Requiere líquido refrigerante G12
PRD-2099,Mahle,Aftermarket,Nuevo,Sensor oxígeno compatible Toyota Hilux 2012-2015,Toyota,Hilux,2012,2015,1KD-FTV,3.0L,Diésel,AT,Camioneta,DX|SR,Años 2012-2015; Motor 1KD-FTV; 3.0L; Diésel,MR0|AHT,KUN,1KD-FTV,,FALSE,FALSE,FALSE,
PRD-2143,Hella,Reconstruido,Usado,Filtro de aire compatible Suzuki Swift 2012-2017,Suzuki,Swift,2012,2017,K14B,1.4L,Gasolina,MT,Hatchback,GL|GLX,Años 2012-2017; Motor K14B; 1.4L; Gasolina,JS2|TSM,ZC72S,K14B,,FALSE,FALSE,FALSE,Requiere líquido refrigerante G12
PRD-2160,Monroe,Reconstruido,Remanufacturado,Rótula dirección compatible Suzuki Swift 2012-2017,Suzuki,Swift,2012,2017,K14B,1.4L,Gasolina,DCT,Hatchback,GLX|GL,Años 2012-2017; Motor K14B; 1.4L; Gasolina,JS2|TSM,ZC72S,K14B,,FALSE,TRUE,TRUE,Con ABS/ESP
PRD-2074,Sachs,Reconstruido,Remanufacturado,Sensor MAF compatible Toyota Corolla 2010-2018,Toyota,Corolla,2010,2018,2ZR-FE,1.8L,Gasolina,DCT,Sedán,GLi,Años 2010-2018; Motor 2ZR-FE; 1.8L; Gasolina,JTD,ZRE,2ZR-FE,,FALSE,TRUE,TRUE,Verificar diámetro
PRD-2011,Mahle,Genérico,Remanufacturado,Alternador compatible Hyundai Accent 2014-2019,Hyundai,Accent,2014,2019,G4FC,1.6L,Gasolina,DCT,Sedán,GLS|Limited,Años 2014-2019; Motor G4FC; 1.6L; Gasolina,KMH,RB,G4FC,,FALSE,FALSE,FALSE,Incluye empaquetadura
PRD-2080,Valeo,Aftermarket,Remanufacturado,Bomba de agua compatible Toyota Hilux 2012-2015,Toyota,Hilux,2012,2015,1KD-FTV,3.0L,Diésel,AT,Camioneta,SR,Años 2012-2015; Motor 1KD-FTV; 3.0L; Diésel,MR0|AHT,KUN,1KD-FTV,,FALSE,FALSE,FALSE,Incluye empaquetadura
PRD-2125,Aisin,Genérico,Remanufacturado,Disco de freno compatible Nissan NP300 2012-2018,Nissan,NP300,2012,2018,YD25,2.5L,Diésel,MT,Camioneta,LE,Años 2012-2018; Motor YD25; 2.5L; Diésel,JN1|3N6,D22|D40,YD25,,FALSE,FALSE,FALSE,Incluye empaquetadura
PRD-2027,Delphi,Aftermarket,Nuevo,Radiador compatible Hyundai Tucson 2016-2021,Hyundai,Tucson,2016,2021,D4HA,2.0L,Diésel,AT,SUV,Limited|Value,Años 2016-2021; Motor D4HA; 2.0L; Diésel,KM8|TMA,TL,D4HA,,FALSE,FALSE,FALSE,Verificar diámetro
PRD-2106,Mahle,Aftermarket,Nuevo,Válvula EGR compatible Toyota Hilux 2012-2015,Toyota,Hilux,2012,2015,1KD-FTV,3.0L,Diésel,AT,Camioneta,DX,Años 2012-2015; Motor 1KD-FTV; 3.0L; Diésel,MR0|AHT,KUN,1KD-FTV,,FALSE,FALSE,FALSE,Verificar diámetro
PRD-2086,NGK,OEM,Nuevo,Filtro de aceite compatible Toyota Hilux 2012-2015,Toyota,Hilux,2012,2015,1KD-FTV,3.0L,Diésel,AT,Camioneta,DX|SR,Años 2012-2015; Motor 1KD-FTV; 3.0L; Diésel,MR0|AHT,KUN,1KD-FTV,,FALSE,FALSE,FALSE,Incluye empaquetadura
PRD-2037,NGK,Aftermarket,Usado,Alternador compatible Hyundai Tucson 2016-2021,Hyundai,Tucson,2016,2021,G4NA,2.0L,Gasolina,MT,SUV,Value,Años 2016-2021; Motor G4NA; 2.0L; Gasolina,KM8|TMA,TL,G4NA,,FALSE,FALSE,FALSE,Verificar diámetro
PRD-2134,Sachs,Aftermarket,Remanufacturado,Válvula EGR compatible Nissan NP300 2012-2018,Nissan,NP300,2012,2018,YD25,2.5L,Diésel,MT,Camioneta,LE|SE,Años 2012-2018; Motor YD25; 2.5L; Diésel,JN1|3N6,D22|D40,YD25,,FALSE,FALSE,FALSE,
PRD-2189,Gates,Aftermarket,Remanufacturado,Turbocargador compatible Great Wall Wingle 5 2011-2018,Great Wall,Wingle 5,2011,2018,GW4D20,2.0L,Diésel,MT,Camioneta,Deluxe|Base,Años 2011-2018; Motor GW4D20; 2.0L; Diésel,LGW|LZW,WINGLE5|CC1031,GW4D20,,FALSE,FALSE,FALSE,Requiere líquido refrigerante G12
PRD-2180,Mahle,OEM,Nuevo,Kit embrague compatible Great Wall Wingle 5 2011-2018,Great Wall,Wingle 5,2011,2018,GW4D20,2.0L,Diésel,MT,Camioneta,Base|Deluxe,Años 2011-2018; Motor GW4D20; 2.0L; Diésel,LGW|LZW,WINGLE5|CC1031,GW4D20,,FALSE,FALSE,FALSE,
PRD-2049,Gates,OEM,Nuevo,Maza de rueda compatible Hyundai Tucson 2016-2021,Hyundai,Tucson,2016,2021,D4HA,2.0L,Diésel,AT,SUV,Value|Limited,Años 2016-2021; Motor D4HA; 2.0L; Diésel,KM8|TMA,TL,D4HA,,FALSE,FALSE,FALSE,Verificar diámetro
PRD-2005,Monroe,Genérico,Remanufacturado,Bomba de combustible compatible Hyundai Accent 2014-2019,Hyundai,Accent,2014,2019,G4FC,1.6L,Gasolina,AT,Sedán,Limited|GLS,Años 2014-2019; Motor G4FC; 1.6L; Gasolina,KMH,RB,G4FC,,FALSE,FALSE,FALSE,
PRD-2017,Original,Aftermarket,Nuevo,Disco de freno compatible Hyundai Accent 2014-2019,Hyundai,Accent,2014,2019,G4FC,1.6L,Gasolina,,Sedán,Limited|GLS,Años 2014-2019; Motor G4FC; 1.6L; Gasolina,KMH,RB,G4FC,,FALSE,FALSE,FALSE,
PRD-2109,Aisin,Reconstruido,Nuevo,Radiador compatible Nissan NP300 2012-2018,Nissan,NP300,2012,2018,YD25,2.5L,Diésel,AT,Camioneta,SE,Años 2012-2018; Motor YD25; 2.5L; Diésel,JN1|3N6,D22|D40,YD25,,FALSE,FALSE,FALSE,Requiere líquido refrigerante G12
PRD-2161,Mahle,OEM,Nuevo,Brazo control compatible Suzuki Swift 2012-2017,Suzuki,Swift,2012,2017,K14B,1.4L,Gasolina,MT,Hatchback,GLX|GL,Años 2012-2017; Motor K14B; 1.4L; Gasolina,JS2|TSM,ZC72S,K14B,,FALSE,FALSE,FALSE,Incluye empaquetadura
PRD-2168,Bosch,Genérico,Usado,Filtro de aceite compatible Great Wall Wingle 5 2011-2018,Great Wall,Wingle 5,2011,2018,GW4D20,2.0L,Diésel,MT,Camioneta,Base,Años 2011-2018; Motor GW4D20; 2.0L; Diésel,LGW|LZW,WINGLE5|CC1031,GW4D20,,FALSE,FALSE,FALSE,Incluye empaquetadura
PRD-2094,Febi Bilstein,Reconstruido,Usado,Amortiguador trasero compatible Toyota Hilux 2012-2015,Toyota,Hilux,2012,2015,1KD-FTV,3.0L,Diésel,AT,Camioneta,SR,Años 2012-2015; Motor 1KD-FTV; 3.0L; Diésel,MR0|AHT,KUN,1KD-FTV,,FALSE,FALSE,FALSE,Verificar diámetro
PRD-2062,Valeo,Aftermarket,Remanufacturado,Filtro de cabina compatible Toyota Corolla 2010-2018,Toyota,Corolla,2010,2018,2ZR-FE,1.8L,Gasolina,,Sedán,GLi,Años 2010-2018; Motor 2ZR-FE; 1.8L; Gasolina,JTD,ZRE,2ZR-FE,,FALSE,FALSE,FALSE,Verificar diámetro
PRD-2064,Sachs,Aftermarket,Usado,Bobina de encendido compatible Toyota Corolla 2010-2018,Toyota,Corolla,2010,2018,2ZR-FE,1.8L,Gasolina,,Sedán,GLi,Años 2010-2018; Motor 2ZR-FE; 1.8L; Gasolina,JTD,ZRE,2ZR-FE,,FALSE,TRUE,FALSE,Con ABS/ESP
PRD-2026,Gates,OEM,Usado,Bomba de agua compatible Hyundai Tucson 2016-2021,Hyundai,Tucson,2016,2021,D4HA,2.0L,Diésel,MT,SUV,Limited,Años 2016-2021; Motor D4HA; 2.0L; Diésel,KM8|TMA,TL,D4HA,,FALSE,FALSE,FALSE,Verificar diámetro
PRD-2091,SKF,OEM,Remanufacturado,Alternador compatible Toyota Hilux 2012-2015,Toyota,Hilux,2012,2015,1KD-FTV,3.0L,Diésel,AT,Camioneta,DX,Años 2012-2015; Motor 1KD-FTV; 3.0L; Diésel,MR0|AHT,KUN,1KD-FTV,,FALSE,FALSE,TRUE,Con ABS/ESP
