local_id,producto_id,sku_distribuidor,oem_part_number,marca_repuesto,calidad_repuesto,condicion,categoria,subcategoria,producto_nombre,descripcion_corta,palabras_clave,marca_vehiculo,modelo_vehiculo,anio_desde,anio_hasta,motor_codigo,cilindrada,combustible,transmision,carroceria,version_trim,compatibilidades,vin_prefijos,chasis_series,numeros_motor_series,colores_disponibles,requiere_color,requiere_vin,requiere_chasis,precio_venta,moneda,incluye_iva,iva_porcentaje,precio_venta_con_iva,estado_disponibilidad,lead_time_dias,garantia_meses,politica_devolucion,regiones_cobertura,costo_envio_base,peso_kg,alto_cm,ancho_cm,largo_cm,imagen_url,manual_url,observaciones,fecha_actualizacion,fuente
LOC-06,PRD-2022,HYU-ACC-MAN-1891,OEM_HOSEL-977645,Denso,OEM,Nuevo,Auto liviano,Enfriamiento,Manguera radiador inferior Hyundai Accent,Manguera radiador inferior compatible Hyundai Accent 2014-2019,lower radiator hose|manguera radiador inferior|Hyundai Accent Manguera radiador inferior,Hyundai,Accent,2014,2019,G4FC,1.6L,Gasolina,DCT,Sedán,GLS,Años 2014-2019; Motor G4FC; 1.6L; Gasolina,KMH,RB,G4FC,,False,False,False,13745,CLP,False,19,16357,Bajo pedido,14,12,Cambio dentro de 7 días,RM|VI|VIII|XIII,3990,5.0,65,45,10,https://upload.wikimedia.org/wikipedia/commons/3/3a/Car_brake_disc.jpg,https://www.toyota.com/t3Portal/document/om-s/OM12J46U/pdf/OM12J46U.pdf,Requiere líquido refrigerante G12,2025-08-09T14:49:26Z,sheet_interno_mock_v2
LOC-07,PRD-2082,TOY-HIL-TER-7861,OEM_THERM-808781,Bosch,Aftermarket,Remanufacturado,Camioneta,Enfriamiento,Termostato Toyota Hilux,Termostato compatible Toyota Hilux 2012-2015,termostato|thermostat|Toyota Hilux Termostato,Toyota,Hilux,2012,2015,1KD-FTV,3.0L,Diésel,MT,Camioneta,DX,Años 2012-2015; Motor 1KD-FTV; 3.0L; Diésel,MR0|AHT,KUN,1KD-FTV,,False,False,False,19683,CLP,False,19,23423,En consulta,7,3,No aplica en eléctricos,IV|IX|RM|VI|VII|XIII,3990,5.0,65,45,10,https://upload.wikimedia.org/wikipedia/commons/2/25/Clutch_disc_auto_part.jpg,https://www.toyota.com/t3Portal/document/om-s/OM12J46U/pdf/OM12J46U.pdf,Requiere líquido refrigerante G12,2025-08-09T14:49:26Z,sheet_interno_mock_v2
LOC-02,PRD-2148,SUZ-SWI-MOT-3928,OEM_START-419015,NGK,Reconstruido,Usado,Auto liviano,Eléctrico,Motor de partida Suzuki Swift,Motor de partida compatible Suzuki Swift 2012-2017,starter|motor partida|Suzuki Swift Motor de partida,Suzuki,Swift,2012,2017,K14B,1.4L,Gasolina,DCT,Hatchback,GLX,Años 2012-2017; Motor K14B; 1.4L; Gasolina,JS2|TSM,ZC72S,K14B,,False,True,True,154207,CLP,False,19,183506,Habitual,0,6,No aplica en eléctricos,VI|VII|VIII,0,3.0,30,20,20,https://upload.wikimedia.org/wikipedia/commons/3/3a/Car_brake_disc.jpg,https://www.hyundaiusa.com/us/en/vehicles/owners/resources/manuals/_jcr_content/par1/links_0/link.download.pdf,Incluye empaquetadura,2025-08-09T14:49:26Z,sheet_interno_mock_v2
LOC-07,PRD-2162,GRE-WIN-BOM-6819,OEM_WPUMP-846767,Bosch,Genérico,Remanufacturado,Camioneta,Enfriamiento,Bomba de agua Great Wall Wingle 5,Bomba de agua compatible Great Wall Wingle 5 2011-2018,water pump|bomba agua|bba|Great Wall Wingle 5 Bomba de agua,Great Wall,Wingle 5,2011,2018,GW4D20,2.0L,Diésel,AT,Camioneta,Base,Años 2011-2018; Motor GW4D20; 2.0L; Diésel,LGW|LZW,WINGLE5|CC1031,GW4D20,,False,False,False,49889,CLP,False,19,59368,Bajo pedido,7,6,No aplica en eléctricos,II|III|V|VII|XIII,0,5.0,65,45,10,https://upload.wikimedia.org/wikipedia/commons/f/f0/Automobile_water_pump.jpg,https://www.suzuki.com.ph/assets/owners_manual/Swift_OM.pdf,Con ABS/ESP,2025-08-09T14:49:26Z,sheet_interno_mock_v2
LOC-01,PRD-2178,GRE-WIN-PAS-1648,OEM_PADR-638301,NGK,OEM,Usado,Camioneta,Frenos,Pastillas de freno traseras Great Wall Wingle 5,Pastillas de freno traseras compatible Great Wall Wingle 5 2011-2018,brake pads rear|pastillas freno traseras|Great Wall Wingle 5 Pastillas de freno traseras,Great Wall,Wingle 5,2011,2018,GW4D20,2.0L,Diésel,AT,Camioneta,Base|Deluxe,Años 2011-2018; Motor GW4D20; 2.0L; Diésel,LGW|LZW,WINGLE5|CC1031,GW4D20,,False,False,False,29264,CLP,False,19,34824,Bajo pedido,7,3,No aplica en eléctricos,IX|RM|XIII,5990,6.0,35,35,10,https://upload.wikimedia.org/wikipedia/commons/f/f0/Automobile_water_pump.jpg,https://www.toyota.com/t3Portal/document/om-s/OM12J46U/pdf/OM12J46U.pdf,Incluye empaquetadura,2025-08-09T14:49:26Z,sheet_interno_mock_v2
LOC-05,PRD-2065,TOY-COR-ALT-4472,OEM_ALT-510583,NGK,OEM,Remanufacturado,Auto liviano,Eléctrico,Alternador Toyota Corolla,Alternador compatible Toyota Corolla 2010-2018,alternador|alternator|Toyota Corolla Alternador,Toyota,Corolla,2010,2018,2ZR-FE,1.8L,Gasolina,AT,Sedán,XEi,Años 2010-2018; Motor 2ZR-FE; 1.8L; Gasolina,JTD,ZRE,2ZR-FE,,False,True,False,175243,CLP,False,19,208539,Habitual,0,3,Cambio dentro de 7 días,III|IV|RM|VI,0,3.0,30,20,20,https://upload.wikimedia.org/wikipedia/commons/2/25/Clutch_disc_auto_part.jpg,https://www.nhtsa.gov/sites/nhtsa.gov/files/documents/2020_ford_fusion_owners_manual.pdf,,2025-08-09T14:49:26Z,sheet_interno_mock_v2
LOC-09,PRD-2057,TOY-COR-KIT-4889,OEM_TIMING-434577,Sachs,OEM,Nuevo,Auto liviano,Motor,Kit correa distribución Toyota Corolla,Kit correa distribución compatible Toyota Corolla 2010-2018,kit distribucion|timing belt kit|Toyota Corolla Kit correa distribución,Toyota,Corolla,2010,2018,2ZR-FE,1.8L,Gasolina,DCT,Sedán,GLi,Años 2010-2018; Motor 2ZR-FE; 1.8L; Gasolina,JTD,ZRE,2ZR-FE,,False,False,False,186458,CLP,False,19,221885,En consulta,5,6,10 días sin uso,IV|IX|XIII,0,9.0,40,30,25,https://upload.wikimedia.org/wikipedia/commons/8/86/Automotive_shock_absorber.jpg,https://www.suzuki.com.ph/assets/owners_manual/Swift_OM.pdf,Requiere líquido refrigerante G12,2025-08-09T14:49:26Z,sheet_interno_mock_v2
LOC-03,PRD-2153,SUZ-SWI-DIS-3002,OEM_DISC-163088,SKF,Aftermarket,Remanufacturado,Auto liviano,Frenos,Disco de freno Suzuki Swift,Disco de freno compatible Suzuki Swift 2012-2017,brake disc|disco freno|Suzuki Swift Disco de freno,Suzuki,Swift,2012,2017,K14B,1.4L,Gasolina,CVT,Hatchback,GL|GLX,Años 2012-2017; Motor K14B; 1.4L; Gasolina,JS2|TSM,ZC72S,K14B,,False,False,False,64439,CLP,False,19,76682,En consulta,5,12,10 días sin uso,III|IV|IX|VII|XIII,5990,6.0,35,35,10,https://upload.wikimedia.org/wikipedia/commons/2/25/Clutch_disc_auto_part.jpg,https://www.hyundaiusa.com/us/en/vehicles/owners/resources/manuals/_jcr_content/par1/links_0/link.download.pdf,Verificar diámetro,2025-08-09T14:49:26Z,sheet_interno_mock_v2
LOC-01,PRD-2104,TOY-HIL-RÓT-5776,OEM_TIEROD-212919,Hella,Genérico,Usado,Camioneta,Dirección,Rótula dirección Toyota Hilux,Rótula dirección compatible Toyota Hilux 2012-2015,tie rod end|rótula|Toyota Hilux Rótula dirección,Toyota,Hilux,2012,2015,1KD-FTV,3.0L,Diésel,MT,Camioneta,DX,Años 2012-2015; Motor 1KD-FTV; 3.0L; Diésel,MR0|AHT,KUN,1KD-FTV,,False,True,False,21858,CLP,False,19,26011,Habitual,0,3,10 días sin uso,II|IV|VIII,0,8.0,60,18,18,https://upload.wikimedia.org/wikipedia/commons/9/99/Car_air_filter.jpg,https://www.nhtsa.gov/sites/nhtsa.gov/files/documents/2020_ford_fusion_owners_manual.pdf,,2025-08-09T14:49:26Z,sheet_interno_mock_v2
LOC-09,PRD-2111,NIS-NP3-KIT-7277,OEM_TIMING-714133,Valeo,OEM,Usado,Camioneta,Motor,Kit correa distribución Nissan NP300,Kit correa distribución compatible Nissan NP300 2012-2018,kit distribucion|timing belt kit|Nissan NP300 Kit correa distribución,Nissan,NP300,2012,2018,YD25,2.5L,Diésel,MT,Camioneta,LE|SE,Años 2012-2018; Motor YD25; 2.5L; Diésel,JN1|3N6,D22|D40,YD25,,False,True,False,171708,CLP,False,19,204333,En consulta,5,6,10 días sin uso,II|V|VI,5990,9.0,40,30,25,https://upload.wikimedia.org/wikipedia/commons/f/f0/Automobile_water_pump.jpg,https://www.hyundaiusa.com/us/en/vehicles/owners/resources/manuals/_jcr_content/par1/links_0/link.download.pdf,Verificar diámetro,2025-08-09T14:49:26Z,sheet_interno_mock_v2
LOC-06,PRD-2131,NIS-NP3-MAZ-5904,OEM_HUB-239879,Hella,Aftermarket,Remanufacturado,Camioneta,Suspensión,Maza de rueda Nissan NP300,Maza de rueda compatible Nissan NP300 2012-2018,wheel hub|maza rueda|Nissan NP300 Maza de rueda,Nissan,NP300,2012,2018,YD25,2.5L,Diésel,AT,Camioneta,LE,Años 2012-2018; Motor YD25; 2.5L; Diésel,JN1|3N6,D22|D40,YD25,,False,False,True,94678,CLP,False,19,112667,Habitual,0,12,10 días sin uso,RM|V|VI|VII|VIII|X,7990,8.0,60,18,18,https://upload.wikimedia.org/wikipedia/commons/3/3a/Car_brake_disc.jpg,https://www.suzuki.com.ph/assets/owners_manual/Swift_OM.pdf,Incluye empaquetadura,2025-08-09T14:49:26Z,sheet_interno_mock_v2
LOC-06,PRD-2183,GRE-WIN-MAN-2131,OEM_HOSEU-887964,NGK,OEM,Nuevo,Camioneta,Enfriamiento,Manguera radiador superior Great Wall Wingle 5,Manguera radiador superior compatible Great Wall Wingle 5 2011-2018,upper radiator hose|manguera radiador superior|Great Wall Wingle 5 Manguera radiador superior,Great Wall,Wingle 5,2011,2018,GW4D20,2.0L,Diésel,AT,Camioneta,Base|Deluxe,Años 2011-2018; Motor GW4D20; 2.0L; Diésel,LGW|LZW,WINGLE5|CC1031,GW4D20,,False,False,False,15238,CLP,False,19,18133,Bajo pedido,10,12,No aplica en eléctricos,III|IX|RM|VI|VII|VIII,3990,5.0,65,45,10,https://upload.wikimedia.org/wikipedia/commons/1/14/Automobile_oil_filter.jpg,https://www.suzuki.com.ph/assets/owners_manual/Swift_OM.pdf,Verificar diámetro,2025-08-09T14:49:26Z,sheet_interno_mock_v2
LOC-01,PRD-2085,TOY-HIL-BOM-8501,OEM_FUEL-755651,Febi Bilstein,Aftermarket,Nuevo,Camioneta,Motor,Bomba de combustible Toyota Hilux,Bomba de combustible compatible Toyota Hilux 2012-2015,fuel pump|bomba combustible|Toyota Hilux Bomba de combustible,Toyota,Hilux,2012,2015,1KD-FTV,3.0L,Diésel,MT,Camioneta,DX|SR,Años 2012-2015; Motor 1KD-FTV; 3.0L; Diésel,MR0|AHT,KUN,1KD-FTV,,False,False,False,87630,CLP,False,19,104280,Bajo pedido,7,12,No aplica en eléctricos,III|RM|VI|VIII|X,0,9.0,40,30,25,https://upload.wikimedia.org/wikipedia/commons/5/50/Spark_plug_auto_part.jpg,https://www.toyota.com/t3Portal/document/om-s/OM12J46U/pdf/OM12J46U.pdf,Verificar diámetro,2025-08-09T14:49:26Z,sheet_interno_mock_v2
LOC-10,PRD-2124,NIS-NP3-PAS-4408,OEM_PADR-411693,Monroe,Aftermarket,Nuevo,Camioneta,Frenos,Pastillas de freno traseras Nissan NP300,Pastillas de freno traseras compatible Nissan NP300 2012-2018,brake pads rear|pastillas freno traseras|Nissan NP300 Pastillas de freno traseras,Nissan,NP300,2012,2018,YD25,2.5L,Diésel,MT,Camioneta,LE|SE,Años 2012-2018; Motor YD25; 2.5L; Diésel,JN1|3N6,D22|D40,YD25,,False,False,True,28184,CLP,False,19,33539,Habitual,0,12,10 días sin uso,II|IV|V|VIII,7990,6.0,35,35,10,https://upload.wikimedia.org/wikipedia/commons/7/76/Automotive_brake_pads.jpg,https://www.suzuki.com.ph/assets/owners_manual/Swift_OM.pdf,,2025-08-09T14:49:26Z,sheet_interno_mock_v2
LOC-01,PRD-2132,NIS-NP3-RÓT-1988,OEM_TIEROD-394527,Gates,Aftermarket,Nuevo,Camioneta,Dirección,Rótula dirección Nissan NP300,Rótula dirección compatible Nissan NP300 2012-2018,tie rod end|rótula|Nissan NP300 Rótula dirección,Nissan,NP300,2012,2018,YD25,2.5L,Diésel,AT,Camioneta,SE,Años 2012-2018; Motor YD25; 2.5L; Diésel,JN1|3N6,D22|D40,YD25,,False,False,False,19289,CLP,False,19,22954,Habitual,0,6,Cambio dentro de 7 días,II|IV|RM|V,7990,8.0,60,18,18,https://upload.wikimedia.org/wikipedia/commons/1/14/Automobile_oil_filter.jpg,https://www.toyota.com/t3Portal/document/om-s/OM12J46U/pdf/OM12J46U.pdf,Verificar diámetro,2025-08-09T14:49:26Z,sheet_interno_mock_v2
LOC-05,PRD-2097,TOY-HIL-DIS-7390,OEM_DISC-230173,Sachs,Genérico,Usado,Camioneta,Frenos,Disco de freno Toyota Hilux,Disco de freno compatible Toyota Hilux 2012-2015,brake disc|disco freno|Toyota Hilux Disco de freno,Toyota,Hilux,2012,2015,1KD-FTV,3.0L,Diésel,AT,Camioneta,DX,Años 2012-2015; Motor 1KD-FTV; 3.0L; Diésel,MR0|AHT,KUN,1KD-FTV,,False,False,False,64960,CLP,False,19,77302,En consulta,10,12,10 días sin uso,V|VI|VII,5990,6.0,35,35,10,https://upload.wikimedia.org/wikipedia/commons/5/50/Spark_plug_auto_part.jpg,https://www.nissanusa.com/content/dam/Nissan/us/owners/manuals/2020/2020-nissan-rogue-owner-manual.pdf,Incluye empaquetadura,2025-08-09T14:49:26Z,sheet_interno_mock_v2
LOC-02,PRD-2002,HYU-ACC-TER-1976,OEM_THERM-749078,Mahle,Genérico,Remanufacturado,Auto liviano,Enfriamiento,Termostato Hyundai Accent,Termostato compatible Hyundai Accent 2014-2019,termostato|thermostat|Hyundai Accent Termostato,Hyundai,Accent,2014,2019,G4FC,1.6L,Gasolina,CVT,Sedán,Limited|GLS,Años 2014-2019; Motor G4FC; 1.6L; Gasolina,KMH,RB,G4FC,,False,False,False,18230,CLP,False,19,21694,Bajo pedido,5,3,No aplica en eléctricos,II|III|IX|VI|XIII,0,5.0,65,45,10,https://upload.wikimedia.org/wikipedia/commons/3/3a/Car_brake_disc.jpg,https://www.nissanusa.com/content/dam/Nissan/us/owners/manuals/2020/2020-nissan-rogue-owner-manual.pdf,,2025-08-09T14:49:26Z,sheet_interno_mock_v2
LOC-05,PRD-2171,GRE-WIN-BUJ-5996,OEM_PLUG-311820,Denso,OEM,Nuevo,Camioneta,Motor,Bujías Great Wall Wingle 5,Bujías compatible Great Wall Wingle 5 2011-2018,spark plug|bujia|bujías|Great Wall Wingle 5 Bujías,Great Wall,Wingle 5,2011,2018,GW4D20,2.0L,Diésel,AT,Camioneta,Base|Deluxe,Años 2011-2018; Motor GW4D20; 2.0L; Diésel,LGW|LZW,WINGLE5|CC1031,GW4D20,,False,False,False,21710,CLP,False,19,25835,Habitual,0,6,No aplica en eléctricos,II|IX|RM,0,9.0,40,30,25,https://upload.wikimedia.org/wikipedia/commons/2/25/Clutch_disc_auto_part.jpg,https://www.nissanusa.com/content/dam/Nissan/us/owners/manuals/2020/2020-nissan-rogue-owner-manual.pdf,Verificar diámetro,2025-08-09T14:49:26Z,sheet_interno_mock_v2
LOC-02,PRD-2146,SUZ-SWI-BOB-6945,OEM_COIL-930369,Gates,Aftermarket,Nuevo,Auto liviano,Eléctrico,Bobina de encendido Suzuki Swift,Bobina de encendido compatible Suzuki Swift 2012-2017,ignition coil|bobina|Suzuki Swift Bobina de encendido,Suzuki,Swift,2012,2017,K14B,1.4L,Gasolina,CVT,Hatchback,GLX|GL,Años 2012-2017; Motor K14B; 1.4L; Gasolina,JS2|TSM,ZC72S,K14B,,False,False,False,43645,CLP,False,19,51938,Habitual,0,6,Cambio dentro de 7 días,IV|IX|XIII,5990,3.0,30,20,20,https://upload.wikimedia.org/wikipedia/commons/a/a9/Car_radiator.jpg,https://www.nhtsa.gov/sites/nhtsa.gov/files/documents/2020_ford_fusion_owners_manual.pdf,Incluye empaquetadura,2025-08-09T14:49:26Z,sheet_interno_mock_v2
LOC-09,PRD-2117,NIS-NP3-BUJ-7895,OEM_PLUG-761757,Denso,Reconstruido,Remanufacturado,Camioneta,Motor,Bujías Nissan NP300,Bujías compatible Nissan NP300 2012-2018,spark plug|bujia|bujías|Nissan NP300 Bujías,Nissan,NP300,2012,2018,YD25,2.5L,Diésel,MT,Camioneta,SE|LE,Años 2012-2018; Motor YD25; 2.5L; Diésel,JN1|3N6,D22|D40,YD25,,False,False,True,20510,CLP,False,19,24407,Habitual,0,6,No aplica en eléctricos,III|RM|X,5990,9.0,40,30,25,https://upload.wikimedia.org/wikipedia/commons/5/50/Spark_plug_auto_part.jpg,https://www.hyundaiusa.com/us/en/vehicles/owners/resources/manuals/_jcr_content/par1/links_0/link.download.pdf,Con ABS/ESP,2025-08-09T14:49:26Z,sheet_interno_mock_v2
